segment,date,period,number_of_stores,numeric_distribution_pct,pdo_kgs,pdo_rs,purchase_weight_tonnes,sales_units_000,sales_value_lakhs,stock_weight_tonnes,str_days,volume_tonnes,number_of_stores_outlier_flag,numeric_distribution_pct_outlier_flag,pdo_kgs_outlier_flag,pdo_rs_outlier_flag,purchase_weight_tonnes_outlier_flag,sales_units_000_outlier_flag,sales_value_lakhs_outlier_flag,stock_weight_tonnes_outlier_flag,str_days_outlier_flag,volume_tonnes_outlier_flag
 Assam Erstwhile Rural,2017-06-01,JUN17,85913.0,100.0,1.035678869,632.505437806,88.323983056,7759.65104101,543.404396782,51.927187814,17.507819417,88.97827864,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2017-07-01,JUL17,80782.0,100.0,1.073987814,685.928554851,78.241025242,7506.41555823,554.106805179,42.056492876,14.542542895,86.758883599,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2017-08-01,AUG17,80457.0,100.0,0.957114831,633.660081204,78.933329551,6976.65736399,509.823891534,42.122858181,16.410099171,77.00658797,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2017-09-01,SEP17,80823.0,100.0,0.989759907,637.909800157,100.49016942,6997.65295849,515.57783778,61.224792089,22.960627323,79.995364973,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2017-10-01,OCT17,84186.0,100.0,1.172038277,738.484527673,94.567108122,8140.74530601,621.700584467,56.667392236,17.229505454,98.669214364,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2017-11-01,NOV17,84414.0,100.0,1.168858315,775.271123744,96.835806823,8374.87741026,654.437366398,53.699425101,16.327306301,98.668005814,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2017-12-01,DEC17,85582.0,100.0,1.171773435,793.608544033,103.901091464,8636.79967881,679.186064155,56.539102426,16.913912704,100.282714147,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-01-01,JAN18,87728.0,100.0,1.136898419,757.143442405,107.530428776,8530.42139516,664.226799153,61.069162994,18.368907674,99.7378245,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-02-01,FEB18,88581.0,100.0,1.052670989,684.96751063,92.462816713,7658.91553508,606.751070591,57.251773561,18.419463091,93.24664885,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-03-01,MAR18,89519.0,100.0,1.150270394,744.499778741,109.113317536,8274.23998893,666.468756931,63.676118471,18.551655574,102.971055413,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-04-01,APR18,90496.0,100.0,1.178049095,754.553360208,110.953903868,8347.43303382,682.840608854,66.188278761,18.62556984,106.608730894,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-05-01,MAY18,91012.0,100.0,1.232154139,788.547987537,101.389855468,8844.586116,717.673294417,53.687296973,14.362468696,112.140812509,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-06-01,JUN18,93661.0,100.0,1.098930539,706.358678387,110.209272601,7674.86522268,661.582601764,60.07048108,17.508677033,102.926933259,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-07-01,JUL18,96524.0,100.0,1.189444048,779.59351266,111.21252011,8669.67586086,752.49484216,55.047578944,14.384015723,114.809897325,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-08-01,AUG18,94674.0,100.0,1.138925914,749.524550343,113.375168436,8178.89475774,709.604872792,60.478020089,16.826454616,107.826671991,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-09-01,SEP18,92851.0,100.0,1.157831538,737.756916413,116.754481067,8138.16953407,685.014674458,68.319287926,19.064816313,107.505816165,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-10-01,OCT18,96026.0,100.0,1.178876959,778.413001958,113.195542941,8526.28554703,747.478869261,66.809685032,17.705302895,113.202838878,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-11-01,NOV18,93073.0,100.0,1.171409191,757.742199031,113.932898534,8059.23355911,705.253396904,71.413354554,19.650262159,109.026567652,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2018-12-01,DEC18,92441.0,100.0,1.152213148,740.030695676,95.291621636,8004.4599759,684.09177539,58.933570285,16.599176586,106.511735651,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-01-01,JAN19,94603.0,100.0,1.12451889,728.547581332,112.853416069,7971.97015017,689.227868368,64.059903853,18.06491296,106.382860509,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-02-01,FEB19,97933.0,100.0,1.074361555,688.332262333,117.801510596,7530.47797259,674.10443447,74.89278215,21.354121098,105.21545018,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-03-01,MAR19,99870.0,100.0,1.209903928,787.778085294,117.241369884,8533.85092551,786.753973783,70.4743412,17.497110834,120.833105308,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-04-01,APR19,94590.0,100.0,1.108811607,709.076995746,102.530266947,7535.23221284,670.715930276,68.32546036,19.543432008,104.882489933,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-05-01,MAY19,94279.0,100.0,1.194695505,765.273462159,123.641878294,8154.98006067,721.492167389,78.516878165,20.912795048,112.634697542,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-06-01,JUN19,94226.0,100.0,1.254930426,800.12988568,116.199449689,8359.71036902,753.930386081,74.227664255,18.832008665,118.247074293,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-07-01,JUL19,92479.0,100.0,1.268106121,823.440140951,110.149125772,8769.00197065,761.50920795,64.46622956,16.491296551,117.273185937,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Rural,2019-08-01,AUG19,95997.0,100.0,1.17161574,762.056974331,117.411171857,7896.55256382,731.551833648,70.059916041,18.687362438,112.471596152,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-06-01,JUN17,66634.0,100.0,2.987249161,2323.274004462,196.079888948,11704.048305,1548.090400134,117.475138657,17.705161341,199.052360594,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-07-01,JUL17,66673.0,100.0,2.963436548,2297.537995966,189.778925087,11774.84300464,1531.837508051,110.980077936,16.850804904,197.581204996,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-08-01,AUG17,65545.0,100.0,3.016716587,2379.483376469,199.671696411,11614.79585599,1559.632379106,111.039162667,16.847030178,197.730688721,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-09-01,SEP17,64367.0,100.0,2.968913566,2342.797286103,208.62174575,11405.46812796,1507.988329146,127.958651832,20.087694188,191.100059524,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-10-01,OCT17,66049.0,100.0,3.179757104,2521.017273738,216.032201301,12524.85388462,1665.106699131,131.321287728,18.758417366,210.019776985,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-11-01,NOV17,65864.0,100.0,3.095975053,2460.402469348,202.671533324,12142.76385972,1620.519482411,124.593270201,18.330330045,203.913300902,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2017-12-01,DEC17,66977.0,100.0,3.120837134,2492.127080318,210.887976729,12406.69066818,1669.151954585,122.798679081,17.624554747,209.024308722,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-01-01,JAN18,66966.0,100.0,3.194904583,2512.184645582,225.166755575,13072.59175926,1682.30956976,133.008273184,18.650378889,213.949980279,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-02-01,FEB18,67979.0,100.0,2.860577191,2243.9363695,202.851064159,11764.08850537,1525.405504623,131.749874299,20.325583462,194.459176852,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-03-01,MAR18,68782.0,100.0,2.989912454,2282.069519349,198.405372928,12478.72095251,1569.653056798,117.841287822,17.190379432,205.652158439,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-04-01,APR18,71021.0,100.0,2.791531405,2090.324770654,206.797253409,11748.89036594,1484.569555366,124.098578563,18.778407566,198.257351895,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-05-01,MAY18,71716.0,100.0,3.043262718,2295.040806107,226.117834734,12717.1820836,1645.911464507,130.48812072,17.936459736,218.250629116,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-06-01,JUN18,72476.0,100.0,2.974121181,2210.578900225,207.099140266,12305.36798282,1602.139163727,122.419867551,17.038065512,215.552406695,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-07-01,JUL18,71456.0,100.0,3.075337161,2314.762829463,225.163887201,12450.63129422,1654.036927421,129.69875084,17.706209992,219.751292169,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-08-01,AUG18,68384.0,100.0,3.249606265,2464.043529304,221.222584481,12143.13970208,1685.011527079,128.650230988,17.367870861,222.221074798,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-09-01,SEP18,68919.0,100.0,3.308434251,2506.948281361,229.33528535,12231.33639582,1727.763686031,128.04084159,16.846446191,228.013980165,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-10-01,OCT18,72950.0,100.0,3.355917159,2532.749441104,270.509485703,13037.09742772,1847.640717285,150.680137785,18.464635351,244.814156769,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-11-01,NOV18,72941.0,100.0,3.406351868,2569.273161214,250.931035268,12954.91225972,1874.053536521,147.949992839,17.863846679,248.462711589,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2018-12-01,DEC18,71814.0,100.0,3.502380283,2632.5270323,258.655680745,12977.71074128,1890.522962976,150.101567168,17.903340217,251.519937647,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-01-01,JAN19,72988.0,100.0,3.509941542,2642.708933164,271.947695889,13089.54588118,1928.860396138,165.545120694,19.385914489,256.183613297,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-02-01,FEB19,72889.0,100.0,3.206027582,2361.51867459,268.327133641,12224.45905482,1721.287346722,187.831962589,24.113569587,233.684144417,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-03-01,MAR19,72475.0,100.0,3.601069046,2647.672522821,248.476835282,13708.96711767,1918.900660914,162.393170004,18.666777104,260.98747914,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-04-01,APR19,72946.0,100.0,3.330181835,2447.08874112,245.474765329,12679.99643284,1785.053353098,153.897684707,19.005701808,242.923444126,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-05-01,MAY19,71708.0,100.0,3.362070043,2600.239675065,260.783716353,12392.44018939,1864.579866196,170.411490218,21.205365492,241.087318611,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-06-01,JUN19,70777.0,100.0,3.42796644,2617.054567872,238.788620658,12546.13885576,1852.272711503,158.937643802,19.652568257,242.621180694,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-07-01,JUL19,70476.0,100.0,3.498775873,2626.282593503,257.634830229,12451.74047318,1850.898920597,166.348785756,20.238742268,246.579728454,0,0,0,0,0,0,0,0,0,0
 Assam Erstwhile Urban,2019-08-01,AUG19,69999.0,100.0,3.583550898,2720.615135612,246.43545751,12077.16584722,1904.403388777,159.27286843,19.048362321,250.844979335,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-06-01,JUN17,77954.0,100.0,1.204103203,505.217201263,88.980330388,6473.43623811,393.837017073,51.942373522,16.601255332,93.864661106,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-07-01,JUL17,75777.0,100.0,1.269584206,554.156214766,106.251993175,7468.11308371,419.922954863,61.252986384,19.100714078,96.205282379,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-08-01,AUG17,74875.0,100.0,1.264991849,555.329345305,100.102114298,7568.99692411,415.802847297,65.054648701,20.605114307,94.716264708,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-09-01,SEP17,79298.0,100.0,1.177042317,512.85134321,97.324468316,7588.5767645,406.680858138,63.019088327,20.255317729,93.337101647,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-10-01,OCT17,88076.0,100.0,1.300328336,551.525141008,141.957863675,8891.2536193,485.761283194,90.985873417,23.83332382,114.527718546,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-11-01,NOV17,91966.0,100.0,1.28779897,569.057497013,118.144405336,9054.96675196,523.339417703,78.509811138,19.887024856,118.433720039,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2017-12-01,DEC17,98446.0,100.0,1.180581768,507.768223381,134.796153807,9293.33027426,499.87750519,90.178295404,23.277113786,116.223552755,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-01-01,JAN18,101595.0,100.0,1.240309775,536.421232694,131.836582426,9910.22035147,544.977151355,90.864268558,21.632757831,126.009271589,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-02-01,FEB18,110147.0,100.0,1.070714458,480.786846782,124.883553592,9324.41825732,529.572288125,86.960245948,22.12053743,117.935985355,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-03-01,MAR18,107943.0,100.0,1.215491662,527.414890575,133.681745784,10091.65194182,569.307455334,81.591863046,18.656133321,131.203816419,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-04-01,APR18,104712.0,100.0,1.231015021,529.925718711,126.08945787,9643.84955711,554.895818577,76.193711731,17.732933204,128.902044892,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-05-01,MAY18,99210.0,100.0,1.230820737,485.31456929,121.995925647,9232.65081067,481.480584193,73.378804019,18.027754259,122.109725314,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-06-01,JUN18,99638.0,100.0,1.222516604,507.301423853,117.679210621,9067.47308876,505.464992698,64.679562492,15.929735347,121.809109347,0,0,0,0,0,0,0,0,0,0
 Madhya Pradesh Erstwhile - Rural,2018-07-01,JUL18,106028.0,100.0,1.066016925,430.747858489,114.650271107,8648.60949303,456.713339399,66.954945442,17.771301946,113.027642512,0,0,0,0,0,0,0,0,0,0
